,0
0,162.9823258002826
1,163.04816929320714
2,163.11401278613164
3,163.17985627905617
4,163.24569977198067
5,163.3115432649052
6,163.37738675782973
7,163.44323025075423
8,163.50907374367875
9,163.57491723660326
10,163.64076072952778
11,163.7066042224523
12,163.7724477153768
13,163.83829120830134
14,163.90413470122584
15,163.96997819415037
16,164.03582168707487
17,164.1016651799994
18,164.16750867292393
19,164.23335216584843
20,164.29919565877296
21,164.36503915169746
22,164.430882644622
23,164.49672613754652
24,164.56256963047102
25,164.62841312339555
26,164.69425661632005
27,164.76010010924458
28,164.8259436021691
29,164.8917870950936
30,164.95763058801813
31,165.02347408094263
32,165.08931757386716
33,165.1551610667917
34,165.2210045597162
35,165.28684805264072
36,165.35269154556522
37,165.41853503848975
38,165.48437853141425
39,165.55022202433878
40,165.6160655172633
41,165.6819090101878
42,165.74775250311234
43,165.81359599603684
44,165.87943948896137
45,165.9452829818859
46,166.0111264748104
47,166.07696996773493
48,166.14281346065943
49,166.20865695358395
50,166.27450044650848
51,166.34034393943298
52,166.4061874323575
53,166.472030925282
54,166.53787441820654
55,166.60371791113107
56,166.66956140405557
57,166.7354048969801
58,166.8012483899046
59,166.86709188282913
60,166.93293537575363
61,166.99877886867816
62,167.0646223616027
63,167.1304658545272
64,167.19630934745172
65,167.26215284037622
66,167.32799633330075
67,167.39383982622527
68,167.45968331914978
69,167.5255268120743
70,167.5913703049988
71,167.65721379792333
72,167.72305729084786
73,167.78890078377236
74,167.8547442766969
75,167.9205877696214
76,167.98643126254592
77,168.05227475547045
78,168.11811824839495
79,168.18396174131948
80,168.24980523424398
81,168.3156487271685
82,168.38149222009304
83,168.44733571301754
84,168.51317920594207
85,168.57902269886657
86,168.6448661917911
87,168.7107096847156
88,168.77655317764012
89,168.84239667056465
90,168.90824016348915
91,168.97408365641368
92,169.03992714933818
93,169.1057706422627
94,169.17161413518724
95,169.23745762811174
96,169.30330112103627
97,169.36914461396077
98,169.4349881068853
99,169.50083159980983
100,169.56667509273433
101,169.63251858565886
102,169.69836207858336
103,169.7642055715079
104,169.83004906443242
105,169.89589255735692
106,169.96173605028144
107,170.02757954320595
108,170.09342303613047
109,170.159266529055
110,170.2251100219795
111,170.29095351490403
112,170.35679700782853
113,170.42264050075306
114,170.48848399367756
115,170.5543274866021
116,170.62017097952662
117,170.68601447245112
118,170.75185796537565
119,170.81770145830015
120,170.88354495122468
121,170.9493884441492
122,171.0152319370737
123,171.08107542999824
124,171.14691892292274
125,171.21276241584727
126,171.2786059087718
127,171.3444494016963
128,171.41029289462082
129,171.47613638754532
130,171.54197988046985
131,171.60782337339435
132,171.67366686631888
133,171.7395103592434
134,171.8053538521679
135,171.87119734509244
136,171.93704083801697
137,172.00288433094147
138,172.068727823866
139,172.1345713167905
140,172.20041480971503
141,172.26625830263953
142,172.33210179556406
143,172.3979452884886
144,172.4637887814131
145,172.52963227433762
146,172.59547576726212
147,172.66131926018664
148,172.72716275311117
149,172.79300624603567
150,172.8588497389602
151,172.9246932318847
152,172.99053672480923
153,173.05638021773376
154,173.12222371065826
155,173.1880672035828
156,173.2539106965073
157,173.31975418943182
158,173.38559768235632
159,173.45144117528085
160,173.51728466820538
161,173.58312816112988
162,173.6489716540544
163,173.7148151469789
164,173.78065863990344
165,173.84650213282796
166,173.91234562575247
167,173.978189118677
168,174.0440326116015
169,174.10987610452602
170,174.17571959745055
171,174.24156309037505
172,174.30740658329958
173,174.37325007622408
174,174.4390935691486
175,174.50493706207314
176,174.57078055499764
177,174.63662404792217
178,174.70246754084667
179,174.7683110337712
180,174.83415452669573
181,174.89999801962023
182,174.96584151254476
183,175.03168500546926
184,175.09752849839379
185,175.1633719913183
186,175.22921548424281
187,175.29505897716734
188,175.36090247009184
189,175.42674596301637
190,175.49258945594087
191,175.5584329488654
192,175.62427644178993
193,175.69011993471443
194,175.75596342763896
195,175.82180692056346
196,175.887650413488
197,175.95349390641252
198,176.01933739933702
199,176.08518089226155
200,176.15102438518605
201,176.21686787811058
202,176.2827113710351
203,176.3485548639596
204,176.41439835688413
205,176.48024184980864
206,176.54608534273316
207,176.6119288356577
208,176.6777723285822
209,176.74361582150672
210,176.80945931443122
211,176.87530280735575
212,176.94114630028025
213,177.00698979320478
214,177.0728332861293
215,177.1386767790538
216,177.20452027197834
217,177.27036376490284
218,177.33620725782737
219,177.4020507507519
220,177.4678942436764
221,177.53373773660093
222,177.59958122952543
223,177.66542472244996
224,177.73126821537448
225,177.79711170829898
226,177.8629552012235
227,177.928798694148
228,177.99464218707254
229,178.06048567999704
230,178.12632917292157
231,178.1921726658461
232,178.2580161587706
233,178.32385965169513
234,178.38970314461966
235,178.45554663754416
236,178.5213901304687
237,178.5872336233932
238,178.65307711631772
239,178.71892060924222
240,178.78476410216675
241,178.85060759509128
242,178.91645108801578
243,178.9822945809403
244,179.0481380738648
245,179.11398156678933
246,179.17982505971386
247,179.24566855263836
248,179.3115120455629
249,179.3773555384874
250,179.44319903141192
251,179.50904252433645
252,179.57488601726095
253,179.64072951018548
254,179.70657300310998
255,179.7724164960345
256,179.838259988959
257,179.90410348188354
