,0
0,-3.1168086805909354
1,-3.086970335347439
2,-3.0571319901039433
3,-3.027293644860447
4,-2.997455299616951
5,-2.967616954373455
6,-2.9377786091299587
7,-2.9079402638864624
8,-2.878101918642966
9,-2.8482635733994703
10,-2.818425228155974
11,-2.788586882912478
12,-2.758748537668982
13,-2.7289101924254857
14,-2.6990718471819894
15,-2.6692335019384936
16,-2.6393951566949974
17,-2.609556811451501
18,-2.5797184662080053
19,-2.549880120964509
20,-2.5200417757210127
21,-2.490203430477517
22,-2.4603650852340206
23,-2.4305267399905244
24,-2.4006883947470286
25,-2.3708500495035323
26,-2.341011704260036
27,-2.31117335901654
28,-2.281335013773044
29,-2.2514966685295477
30,-2.221658323286052
31,-2.1918199780425556
32,-2.1619816327990593
33,-2.132143287555563
34,-2.1023049423120668
35,-2.072466597068571
36,-2.0426282518250747
37,-2.0127899065815784
38,-1.9829515613380826
39,-1.9531132160945863
40,-1.9232748708510903
41,-1.8934365256075942
42,-1.863598180364098
43,-1.833759835120602
44,-1.8039214898771059
45,-1.7740831446336096
46,-1.7442447993901136
47,-1.7144064541466173
48,-1.6845681089031213
49,-1.6547297636596252
50,-1.624891418416129
51,-1.595053073172633
52,-1.5652147279291366
53,-1.5353763826856406
54,-1.5055380374421445
55,-1.4756996921986483
56,-1.4458613469551522
57,-1.4160230017116562
58,-1.38618465646816
59,-1.3563463112246639
60,-1.3265079659811678
61,-1.2966696207376716
62,-1.2668312754941755
63,-1.2369929302506792
64,-1.2071545850071832
65,-1.1773162397636872
66,-1.1474778945201909
67,-1.1176395492766948
68,-1.0878012040331986
69,-1.0579628587897028
70,-1.0281245135462065
71,-0.9982861683027102
72,-0.968447823059214
73,-0.9386094778157181
74,-0.9087711325722219
75,-0.8789327873287256
76,-0.8490944420852298
77,-0.8192560968417335
78,-0.7894177515982372
79,-0.7595794063547414
80,-0.7297410611112451
81,-0.6999027158677489
82,-0.6700643706242531
83,-0.6402260253807568
84,-0.6103876801372605
85,-0.5805493348937647
86,-0.5507109896502684
87,-0.5208726444067722
88,-0.49103429916327634
89,-0.4611959539197801
90,-0.4313576086762838
91,-0.40151926343278754
92,-0.3716809181892917
93,-0.34184257294579545
94,-0.3120042277022992
95,-0.28216588245880336
96,-0.2523275372153071
97,-0.22248919197181083
98,-0.192650846728315
