,Date,Close
0,2011-01-03,64.7699966430664
1,2011-01-04,64.94999694824219
2,2011-01-05,64.80000305175781
3,2011-01-06,64.69000244140625
4,2011-01-07,64.5
5,2011-01-10,64.36000061035156
6,2011-01-11,64.04000091552734
7,2011-01-12,64.97000122070312
8,2011-01-13,65.4800033569336
9,2011-01-14,65.52999877929688
10,2011-01-18,65.5
11,2011-01-19,65.3499984741211
12,2011-01-20,65.80000305175781
13,2011-01-21,65.91000366210938
14,2011-01-24,66.58000183105469
15,2011-01-25,66.69999694824219
16,2011-01-26,66.11000061035156
17,2011-01-27,64.18000030517578
18,2011-01-28,64.19999694824219
19,2011-01-31,63.130001068115234
20,2011-02-01,62.91999816894531
21,2011-02-02,62.790000915527344
22,2011-02-03,62.900001525878906
23,2011-02-04,63.61000061035156
24,2011-02-07,64.55000305175781
25,2011-02-08,64.63999938964844
26,2011-02-09,64.38999938964844
27,2011-02-10,64.58000183105469
28,2011-02-11,64.7300033569336
29,2011-02-14,64.54000091552734
30,2011-02-15,63.91999816894531
31,2011-02-16,63.7599983215332
32,2011-02-17,64.0
33,2011-02-18,64.30000305175781
34,2011-02-22,64.06999969482422
35,2011-02-23,64.1500015258789
36,2011-02-24,63.04999923706055
37,2011-02-25,62.84000015258789
38,2011-02-28,63.04999923706055
39,2011-03-01,62.7400016784668
40,2011-03-02,62.40999984741211
41,2011-03-03,62.54999923706055
42,2011-03-04,62.029998779296875
43,2011-03-07,61.709999084472656
44,2011-03-08,62.04999923706055
45,2011-03-09,62.0
46,2011-03-10,61.4900016784668
47,2011-03-11,61.4900016784668
48,2011-03-14,61.349998474121094
49,2011-03-15,60.65999984741211
50,2011-03-16,59.72999954223633
51,2011-03-17,60.43000030517578
52,2011-03-18,60.599998474121094
53,2011-03-21,61.29999923706055
54,2011-03-22,60.93000030517578
55,2011-03-23,60.90999984741211
56,2011-03-24,61.13999938964844
57,2011-03-25,60.880001068115234
58,2011-03-28,60.65999984741211
59,2011-03-29,61.279998779296875
60,2011-03-30,61.970001220703125
61,2011-03-31,61.599998474121094
62,2011-04-01,62.08000183105469
63,2011-04-04,62.2599983215332
64,2011-04-05,61.66999816894531
65,2011-04-06,61.7599983215332
66,2011-04-07,62.130001068115234
67,2011-04-08,61.900001525878906
68,2011-04-11,62.189998626708984
69,2011-04-12,62.88999938964844
70,2011-04-13,62.9900016784668
71,2011-04-14,63.29999923706055
72,2011-04-15,64.18000030517578
73,2011-04-18,64.0
74,2011-04-19,63.86000061035156
75,2011-04-20,63.720001220703125
76,2011-04-21,63.27000045776367
77,2011-04-25,63.369998931884766
78,2011-04-26,63.83000183105469
79,2011-04-27,64.0199966430664
80,2011-04-28,64.5
81,2011-04-29,64.9000015258789
82,2011-05-02,65.18000030517578
83,2011-05-03,65.70999908447266
84,2011-05-04,66.47000122070312
85,2011-05-05,65.87999725341797
86,2011-05-06,65.2699966430664
87,2011-05-09,65.13999938964844
88,2011-05-10,65.7300033569336
89,2011-05-11,65.91999816894531
90,2011-05-12,66.83999633789062
91,2011-05-13,66.86000061035156
92,2011-05-16,66.94000244140625
93,2011-05-17,67.41999816894531
94,2011-05-18,67.37999725341797
95,2011-05-19,67.45999908447266
96,2011-05-20,67.36000061035156
97,2011-05-23,67.05000305175781
98,2011-05-24,67.01000213623047
99,2011-05-25,66.37999725341797
100,2011-05-26,66.19000244140625
101,2011-05-27,66.19999694824219
102,2011-05-31,67.0
103,2011-06-01,66.4000015258789
104,2011-06-02,66.01000213623047
105,2011-06-03,65.43000030517578
106,2011-06-06,65.5
107,2011-06-07,65.05999755859375
108,2011-06-08,64.8499984741211
109,2011-06-09,65.01000213623047
110,2011-06-10,64.69999694824219
111,2011-06-13,64.7699966430664
112,2011-06-14,64.76000213623047
113,2011-06-15,63.7599983215332
